Project Reference,Mobility Duration,Participant Age,Sending Country Code,Receiving Country Code
2014-1-BE04-KA347-000164,2,18,FR,BE
2014-1-BE04-KA347-000164,3,22,FR,BE
2014-1-BE04-KA347-000164,3,27,FR,BE
2014-1-BE04-KA347-000164,3,27,FR,BE
2014-1-BE04-KA347-000164,3,25,FR,BE
2014-1-BG01-KA347-001498,4,27,RS,BG
2014-1-EL02-KA347-001351,2,30,BA,EL
2014-1-EL02-KA347-001351,3,23,AT,EL
2014-1-EL02-KA347-001351,3,21,BG,EL
2014-1-EL02-KA347-001351,3,27,BG,EL
2014-1-EL02-KA347-001351,3,19,CZ,EL
2014-1-EL02-KA347-001351,3,22,ES,EL
2014-1-EL02-KA347-001351,3,27,UK,EL
2014-1-EL02-KA347-001351,3,23,IT,EL
2014-1-EL02-KA347-001351,3,24,SK,EL
2014-1-EL02-KA347-001351,4,25,DE,EL
2014-1-EL02-KA347-001351,4,21,DE,EL
2014-1-EL02-KA347-001351,4,23,MA,EL
2014-1-EL02-KA347-001351,4,30,BG,EL
2014-1-EL02-KA347-001351,4,21,NL,EL
2014-1-EL02-KA347-001351,4,19,DE,EL
2014-1-EL02-KA347-001351,4,24,ES,EL
2014-1-EL02-KA347-001351,4,27,ES,EL
2014-1-EL02-KA347-001351,4,28,HU,EL
2014-1-EL02-KA347-001351,4,22,IL,EL
2014-1-EL02-KA347-001351,4,22,UK,EL
2014-1-EL02-KA347-001351,4,19,FI,EL
2014-1-EL02-KA347-001351,4,18,NL,EL
2014-1-EL02-KA347-001351,4,32,PL,EL
2014-1-EL02-KA347-001351,4,34,RS,EL
2014-1-EL02-KA347-001351,4,24,SK,EL
2014-1-EL02-KA347-001351,4,22,SK,EL
2014-1-ES02-KA347-000870,3,18,FI,ES
2014-1-ES02-KA347-000870,3,21,FI,ES
2014-1-ES02-KA347-000870,3,34,FI,ES
2014-1-ES02-KA347-000870,3,18,FI,ES
2014-1-ES02-KA347-000870,3,19,FI,ES
2014-1-ES02-KA347-000870,3,23,DE,ES
2014-1-ES02-KA347-000870,3,27,DE,ES
2014-1-ES02-KA347-000870,3,32,DE,ES
2014-1-ES02-KA347-000870,3,27,DE,ES
2014-1-ES02-KA347-000870,3,35,DE,ES
2014-1-ES02-KA347-000870,3,21,IT,ES
2014-1-ES02-KA347-000870,3,22,IT,ES
